step,reward,success,max_task,mode
360000,222.58092850926477,0,1.2,eval
360001,-63.814077150486696,0,1.0,train
360012,-7.116546607494051,0,0.0,train
360164,173.5422276315336,0,1.0,train
360275,156.57122664702064,0,1.0,train
360455,146.76546698404377,0,1.0,train
360471,68.73359645434937,0,0.0,train
360590,77.60598892412085,0,0.0,train
360707,192.75706182573012,0,1.0,train
360709,-34.053202005927886,0,0.0,train
360718,-11.075084139103016,0,0.0,train
360833,173.90484495734393,0,1.0,train
360884,146.61962338050554,0,1.0,train
360955,135.62968152321898,0,1.0,train
360964,-11.512305649881483,0,0.0,train
360975,-22.04541817592018,0,0.0,train
361070,169.68417675177193,0,1.0,train
361185,167.23943472772342,0,1.0,train
361275,167.63288431663648,0,1.0,train
361434,405.6432983790021,1,2.0,train
361532,173.7437654677015,0,1.0,train
361677,405.33926354696416,1,2.0,train
361737,137.31369842756814,0,1.0,train
361779,135.3858439426116,0,1.0,train
361897,209.01670690058248,0,1.0,train
361983,150.47244615828882,0,1.0,train
362056,151.46310483759072,0,1.0,train
362154,141.84507812025885,0,1.0,train
362198,128.91717020500647,0,1.0,train
362277,74.31479620083527,0,0.0,train
362479,397.1049106369355,1,2.0,train
362543,155.21454620010527,0,1.0,train
362568,63.695178838032604,0,0.0,train
362634,150.91185250615928,0,1.0,train
362709,188.11854546014982,0,1.0,train
362853,124.47800901091625,0,1.0,train
362856,-13.938201835365785,0,0.0,train
362896,137.4670287075749,0,1.0,train
363026,390.7436263709895,1,2.0,train
363255,391.8174255971291,1,2.0,train
363370,404.8606206539561,1,2.0,train
363374,-27.451759237601237,0,0.0,train
363508,230.3940707342175,0,1.0,train
363651,208.92068115371475,0,1.0,train
