step,reward,success,max_task,mode
3243,25.373229347980356,0,0.0,train
3248,-125.59021053915966,0,0.0,train
3254,-43.496975862042326,0,0.0,train
3260,-71.97487362571121,0,0.0,train
3264,-59.926613890906204,0,0.0,train
3268,-57.822610851914675,0,0.0,train
3271,-61.722759776430976,0,0.0,train
3274,-64.09335957467404,0,0.0,train
3278,-56.529206306998994,0,0.0,train
3284,-62.72279526664902,0,0.0,train
3290,-50.58223822695523,0,0.0,train
3315,-61.94367741975209,0,0.0,train
3323,-54.85353374576185,0,0.0,train
3329,-78.29751815555325,0,0.0,train
3333,-26.63367955254364,0,0.0,train
3340,-58.670297751685915,0,0.0,train
3361,-76.18311628687387,0,0.0,train
3365,-54.65029863336561,0,0.0,train
3375,-40.32727207525205,0,0.0,train
3380,-74.84221658493084,0,0.0,train
3384,-84.45551449762911,0,0.0,train
3387,-60.133850363777576,0,0.0,train
3390,-49.09408192417349,0,0.0,train
3398,-46.557725197303306,0,0.0,train
3404,-61.18152425668884,0,0.0,train
3408,-87.10490453137311,0,0.0,train
3414,-51.279216597964826,0,0.0,train
3419,-72.09077492829627,0,0.0,train
3431,-1.5923598164651551,0,0.0,train
3443,-55.72523624620068,0,0.0,train
3447,-121.30603210142222,0,0.0,train
3451,-63.18485146837186,0,0.0,train
3456,-45.1993546668338,0,0.0,train
3462,-85.87379858162254,0,0.0,train
3468,-102.33470476927971,0,0.0,train
3472,-52.98774807106096,0,0.0,train
3477,-73.65512797580394,0,0.0,train
3482,-44.439503996069064,0,0.0,train
3486,-66.27455814016206,0,0.0,train
3498,-17.632305336149265,0,0.0,train
3514,-46.47985371839485,0,0.0,train
3521,-124.73303185436549,0,0.0,train
3528,-70.92254384186612,0,0.0,train
3533,-54.91514300771062,0,0.0,train
3551,-103.63018158118999,0,0.0,train
3556,-69.50320140743554,0,0.0,train
3560,-63.4628183862062,0,0.0,train
3564,-64.23736237001637,0,0.0,train
3569,-72.08842117323395,0,0.0,train
3574,-47.33641335951447,0,0.0,train
3579,-52.0686770395522,0,0.0,train
3586,-48.5696382267193,0,0.0,train
3591,-70.90438506913635,0,0.0,train
3596,-72.69435730584827,0,0.0,train
3600,-59.53425568774917,0,0.0,train
3611,-10.265393539970518,0,0.0,train
3618,-80.50158734252437,0,0.0,train
3625,-70.36054197944352,0,0.0,train
3629,-85.35249185044941,0,0.0,train
3633,-56.75328239437198,0,0.0,train
3650,-14.82387325956757,0,0.0,train
3656,-81.60309773767207,0,0.0,train
3660,-84.67004738186436,0,0.0,train
3664,-69.72055677104467,0,0.0,train
3669,-69.2415932298442,0,0.0,train
3677,-55.6531563189329,0,0.0,train
3683,-82.45835663474038,0,0.0,train
3686,-54.33124499047416,0,0.0,train
3692,-70.83274802691375,0,0.0,train
3698,-59.85385848160078,0,0.0,train
3704,-70.2336603445917,0,0.0,train
3709,-64.74084382665677,0,0.0,train
3713,-52.59229270221304,0,0.0,train
3732,-10.25691750625284,0,0.0,train
3733,-49.99052580359987,0,0.0,train
3737,-44.23903713689652,0,0.0,train
3740,-79.78272977690352,0,0.0,train
3746,-52.050113637080166,0,0.0,train
3751,-69.26238787477857,0,0.0,train
3758,-43.93307335890449,0,0.0,train
3761,-78.49583763701995,0,0.0,train
3765,-48.47309015598176,0,0.0,train
