step,reward,success,max_task,mode
350000,392.9862783853047,1,2.0,eval
350045,-63.467353897849975,0,1.0,train
350200,403.899253067321,1,2.0,train
350379,406.5231409630012,1,2.0,train
350650,391.0256011601572,1,2.0,train
350696,-39.001291793669665,0,0.0,train
350741,-28.374468151202052,0,0.0,train
350815,-39.1659737877628,0,0.0,train
350867,-35.821159860169594,0,0.0,train
350994,-40.81891454837021,0,0.0,train
351010,-35.97562309076932,0,0.0,train
351098,-38.081977106298204,0,0.0,train
351177,-30.51605331177489,0,0.0,train
351245,-26.34154512041528,0,0.0,train
351296,-43.35806272873502,0,0.0,train
351408,-37.65139379491864,0,0.0,train
351462,-30.48302526116437,0,0.0,train
351768,20.495249268149564,0,0.0,train
351813,-23.72796326317686,0,0.0,train
351872,-24.201651212382632,0,0.0,train
352065,31.18639149088053,0,0.0,train
352288,-84.7309833058022,0,0.0,train
352676,331.1013555972925,1,2.0,train
352727,-23.715123676624447,0,0.0,train
353021,388.5318287428049,1,2.0,train
353334,383.89528551974706,1,2.0,train
353517,396.5763364453363,1,2.0,train
353679,410.2795569480645,1,2.0,train
353792,392.50871650306095,1,2.0,train
353949,404.15548128449984,1,2.0,train
354093,412.27035073796674,1,2.0,train
354236,404.76416295656367,1,2.0,train
354426,406.13631969589824,1,2.0,train
354485,64.74608726289021,0,0.0,train
354638,407.85591137953827,1,2.0,train
354688,72.7502663233673,0,0.0,train
354852,410.11209675087844,1,2.0,train
354960,51.77296152781483,0,0.0,train
355110,406.52314091291646,1,2.0,train
355284,406.54384984493373,1,2.0,train
355482,399.24851882984325,1,2.0,train
355582,119.41821347049344,0,1.0,train
355734,114.83181541865616,0,1.0,train
355921,406.2654561509969,1,2.0,train
356052,411.6342871277069,1,2.0,train
356202,408.9755986813673,1,2.0,train
356341,412.21934642597313,1,2.0,train
356485,400.50979111547133,1,2.0,train
356612,410.15338406152915,1,2.0,train
356754,413.11391994245304,1,2.0,train
356915,408.9277163189088,1,2.0,train
357082,413.5280709396244,1,2.0,train
357220,412.7052137156129,1,2.0,train
357365,409.632339333965,1,2.0,train
357560,397.85008758568915,1,2.0,train
357699,413.23663114139845,1,2.0,train
357877,405.95284855694035,1,2.0,train
358027,408.14149658043476,1,2.0,train
358183,401.50227419240395,1,2.0,train
358336,405.7034874194485,1,2.0,train
358488,407.1501669896171,1,2.0,train
358654,405.78160518642056,1,2.0,train
358801,408.2343882647188,1,2.0,train
358933,410.29080101140914,1,2.0,train
359077,410.0635145144361,1,2.0,train
359210,410.07068176797253,1,2.0,train
359272,166.4287337089301,0,1.0,train
359431,408.08043241785816,1,2.0,train
359604,403.6966306399152,1,2.0,train
359773,397.6533312165327,1,2.0,train
359792,-7.230419819890301,0,0.0,train
359930,413.7326217193155,1,2.0,train
360000,386.09341976509177,0,1.8,eval
360017,180.12728152914767,0,1.0,train
